venue,mpo_name,visits,total_minutes
Venue001,MPO001,1,93
Venue002,MPO002,1,19
Venue003,MPO002,1,4
Venue004,MPO002,1,12
Venue005,MPO001,1,30
Venue006,MPO002,1,34
Venue007,MPO001,1,32
Venue008,MPO002,1,27
Venue009,MPO002,1,5
Venue010,MPO002,1,21
Venue011,MPO002,1,11
Venue012,MPO002,1,27
Venue013,MPO002,1,10
Venue014,MPO001,1,35
Venue015,MPO001,1,15
Venue016,MPO001,1,16
Venue017,MPO002,1,18
Venue018,MPO002,1,71
Venue019,MPO001,1,7
Venue020,MPO001,1,8
Venue021,MPO002,1,22
Venue022,MPO001,1,3
Venue023,MPO001,1,27
Venue024,MPO001,1,19
Venue025,MPO002,1,8
Venue026,MPO002,1,6
Venue027,MPO001,1,9
Venue028,MPO001,1,10
Venue029,MPO002,1,9
Venue030,MPO002,1,15
Venue031,MPO002,1,26
Venue032,MPO002,1,11
Venue033,MPO002,1,15
Venue034,MPO001,1,3
Venue035,MPO001,1,3
Venue036,MPO002,1,3
