venue,visits,total_minutes,avg_minutes
Venue001,1,93,93
Venue018,1,71,71
Venue014,1,35,35
Venue006,1,34,34
Venue007,1,32,32
Venue005,1,30,30
Venue008,1,27,27
Venue012,1,27,27
Venue023,1,27,27
Venue031,1,26,26
Venue021,1,22,22
Venue010,1,21,21
Venue002,1,19,19
Venue024,1,19,19
Venue017,1,18,18
Venue016,1,16,16
Venue015,1,15,15
Venue030,1,15,15
Venue033,1,15,15
Venue004,1,12,12
Venue011,1,11,11
Venue032,1,11,11
Venue013,1,10,10
Venue028,1,10,10
Venue027,1,9,9
Venue029,1,9,9
Venue020,1,8,8
Venue025,1,8,8
Venue019,1,7,7
Venue026,1,6,6
Venue009,1,5,5
Venue003,1,4,4
Venue022,1,3,3
Venue034,1,3,3
Venue035,1,3,3
Venue036,1,3,3
